v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_master_categories_id,v_products_id,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Main Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Main Menu^Fooddudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Brunch Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Brunch Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Brunch Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Brunch Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^Sage on Laurel^Brunch Menu^Fooddudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Main Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Main Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Breakfast Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Breakfast Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Breakfast Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Breakfast Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^CLOSED - Sawmill Inn^Breakfast Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Fooddudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Main Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Main Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Main Menu^Fooddudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Gluten Free Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Gluten Free Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Gluten Free Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Gluten Free Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^Black Bear Lodge^Gluten Free Menu^Fooddudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","21511","57974","0","0","0","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:07:29","0","","Locations^Minnesota^Brainerd^CherryBerry^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.59","21511","57975","0","0","10","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:08:26","0","","Locations^Minnesota^Brainerd^CherryBerry^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.29","21511","57976","0","0","20","1","1","0","0","0001-01-01 00:00:00","2018-08-27 03:09:01","0","","Locations^Minnesota^Brainerd^CherryBerry^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","21512","57977","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:08","0","","Locations^Minnesota^Brainerd^CherryBerry^Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","21513","57978","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2018-08-27 03:10:49","0","","Locations^Minnesota^Brainerd^CherryBerry^Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Macho Nachoz","A Zorbaz original (gluten free). Crizp tortilla chipz topped with taco meat or zeazoned chicken, refritoz, cheddar & jack cheeze, topped with jalapenoz, red onionz, cilantro, tomato, black olivez & zour cream. Lotza homemade zalza included.","","","","","0","20585","54947","0","0","0","1","1","1","0","","2018-07-10 17:53:03","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Botanaz (Appetizerz)","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Nachoz","(Gluten free & vegetarian). Zame az ""macho nachoz"" but no meat or beanz.","","","","","0","20585","54948","0","0","5","1","1","1","0","","2018-07-10 17:53:03","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Botanaz (Appetizerz)","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Guacamole","(Gluten free & vegetarian). Uzing the frezhezt Minnezota grown avocadoz available, yah no. Zide zerving. Chipz juzt a little extra.","","","","","3.05","20585","54972","0","0","35","1","1","0","0","","2018-07-10 17:53:03","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Botanaz (Appetizerz)","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Colorado Green Chili","Recipe zmuggled into the lakez area by the Colorado connection. A traditional verde zauce made with pork, green chiliz & zecret ingredientz. Each batch variez from muy caliente to en fuego. Take a chance with your chipz & zalza.","","","","","3.05","20585","54973","0","0","40","1","1","0","0","","2018-07-10 17:53:03","0","","Locations^Minnesota^Brainerd^Zorbaz^Menu^Botanaz (Appetizerz)","Taxable Goods","1","0","0","0","0","0","","",""
