v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_master_categories_id,v_products_id,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
"","1","","Whole Wings","The whole Shebangl Fried to perfection & tossed in your choice of sauce","","","","","0","760","5970","0","0","0","1","1","1","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Nacho Crazy","Tortilla chips topped with taco meat, jalapenos, onions, shredded cheese, and smothered with queso.","","","","","11","760","5971","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Fried Green Beans","Half a pound of deep fried green beans served with a side of ranch.","","","","","7","760","5972","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Pickle Fries","Deep fried battered pickle fries, served with spicy ranch.","","","","","8","760","5974","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Chips & Queso","Tortilla chip and Dan's 1,000,000 queso recipe.","","","","","9","760","5975","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Chips & Salsa","Plain & simple.","","","","","4","760","5976","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Onion Rings","Crispy hand battered onion rings served with our Remoulade sauce.","","","","","9","760","5980","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Parmesan Asparagus","Breaded asparagus deep fried & tossed in Parmesan cheese. Served with Parmesan sauce for dipping.","","","","","8","760","7206","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Cheese Curds","Battered cheese nuggets with marinara for dipping.","","","","","8","760","7207","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Walleye Fingers","Fried walleye fingers served with a side of remoulade.","","","","","14","760","16525","0","0","0","1","1","0","0","","2015-09-29 22:37:21","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Bacon Poppers","Four jalapeno peppers stuffed with cream cheese, cheddar, pepperjack, then wrapped in a seasoned bacon strip.","","","","","11","760","16526","0","0","0","1","1","0","0","","2015-09-29 22:38:38","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Chicken Bites","Hand breaded boneless chicken bites. Tossed in your choice of flavor.","","","","","9","760","49882","0","0","0","1","1","0","0","","2018-04-04 15:41:57","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Starters","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","8oz Center Cut Aged Top Sirloin","Tender, melt in your mouth choice cut. Includes Coleslaw or Salad, Garlic Toast, and your choice of side.","","","","","18","761","5981","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Entrees","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","10 oz Ribeye","Includes coleslaw or salad, garlic toast and your choice of side.","","","","","24","761","5982","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Entrees","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Vodka Cream Chicken","Grilled chicken breasts smothered in our house made vodka cream sauce and topped with watermelon salsa.","","","","","12","761","49884","0","0","0","1","1","0","0","","2018-04-04 16:05:32","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Entrees","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Porter House Pork Chop","A 12oz pork chop seasoned in our ""Sweet Fire"" dry rub and grilled to perfection.","","","","","17","761","49885","0","0","0","1","1","0","0","","2018-04-04 16:06:22","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Entrees","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Buffalo Chicken Salad","Grilled chicken breast tossed in buffalo sauce atop spring greens with onions and grape tomatoes. Served with bleu cheese dressing.","","","","","12","762","5977","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Salads","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Ahi Tuna Salad","Tuna Steak prepared medium rare and placed on a bed of springs greens, toasted almonds, mandarin oranges and Sweet Asian sauce.","","","","","14","762","5978","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Salads","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Grilled Chicken Salad","Grilled chicken breast surrounded by sweet craisins, toasted almonds, juicy grapes & red onion. Served with Strawberry Vinaigrette.","","","","","12","762","5979","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Salads","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Taco Salad","Shredded lettuce, nacho beef, onions, jalapenos, tomatoes and blended cheese served with sour cream and salsa.","","","","","10","762","7208","0","0","0","1","1","0","0","","2015-04-27 01:30:00","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Salads","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Chicken Caesar Salad","Grilled chicken breast, romaine lettuce, bacon, parmesan, croutons & caesar dressing.","","","","","12","762","21124","0","0","0","1","1","0","0","","2016-05-08 23:36:33","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Salads","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Greek Salad","Spring mix topped with grilled chicken breast, Greek olives, grape tomatoes, red onion & feta cheese. Served with balsamic vinaigrette.","","","","","12","762","21125","0","0","0","1","1","0","0","","2016-05-08 23:36:57","0","","Locations^North Dakota^Grand Forks^Boardwalk^Menu 1^Salads","Taxable Goods","1","0","0","0","0","0","","",""
