v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_master_categories_id,v_products_id,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
"BEVERAGE","1","","2 Liter","","","","","","3.75","16141","36233","0","0","0","1","1","0","0","","2017-05-09 14:12:12","0","","Locations^Colorado^Montrose^Chili's^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.75","16141","36234","0","0","0","1","1","0","0","","2017-05-09 14:13:04","0","","Locations^Colorado^Montrose^Chili's^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.75","16141","36235","0","0","0","1","1","0","0","","2017-05-09 14:13:24","0","","Locations^Colorado^Montrose^Chili's^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","16142","36236","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-05-09 14:13:55","0","","Locations^Colorado^Montrose^Chili's^Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","16143","36237","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-05-09 14:14:21","0","","Locations^Colorado^Montrose^Chili's^Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","2 Liter","","","","","","3.75","16141","36233","0","0","0","1","1","0","0","","2017-05-09 14:12:12","0","","Locations^Colorado^Montrose^Mi Mexico^Full Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.75","16141","36234","0","0","0","1","1","0","0","","2017-05-09 14:13:04","0","","Locations^Colorado^Montrose^Mi Mexico^Full Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.75","16141","36235","0","0","0","1","1","0","0","","2017-05-09 14:13:24","0","","Locations^Colorado^Montrose^Mi Mexico^Full Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","16142","36236","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-05-09 14:13:55","0","","Locations^Colorado^Montrose^Mi Mexico^Full Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","16143","36237","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-05-09 14:14:21","0","","Locations^Colorado^Montrose^Mi Mexico^Full Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
