v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_master_categories_id,v_products_id,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
"BEVERAGE","1","","2 Liter","","","","","","3.49","10634","29958","0","0","0","1","1","0","0","","2016-12-26 22:54:55","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.69","10634","29959","0","0","0","1","1","0","0","","2016-12-26 22:55:12","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water","","","","","","1.49","10634","29960","0","0","0","1","1","0","0","","2016-12-26 22:56:00","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","10633","29961","0","0","0","0.01","0.01","0","0","","2016-12-26 22:56:38","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","10632","29962","0","0","0","0.01","0.01","0","0","","2016-12-26 22:56:59","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Combo 1","2 sides and 1 meat.","","","","","5.79","26111","74248","0","0","0","1","1","0","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Specials","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Combo 2","1 side and 2 meats.","","","","","6.59","26111","74249","0","0","0","1","1","0","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Specials","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Combo 3","2 sides and 2 meats.","","","","","7.59","26111","74250","0","0","0","1","1","0","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Specials","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Rice Bowl","White rice on the bottom. Your choice of half side and half meat.","","","","","4.59","26111","74251","0","0","0","1","1","0","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Specials","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","White Rice","","","","","","0","26112","74252","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Yellow Rice","","","","","","0","26112","74253","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Home Fries","","","","","","0","26112","74254","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Lo Mein","","","","","","0","26112","74255","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Mushrooms","","","","","","0","26112","74256","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Steamed Broccoli","","","","","","0","26112","74257","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Cheese Wonton","","","","","","0","26112","74258","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Egg Roll","","","","","","0","26112","74259","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Green Beans","","","","","","0","26112","74260","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Mix Vegetables","","","","","","0","26112","74261","0","0","0","1","1","1","0","","2019-07-13 00:16:23","0","","Locations^North Dakota^Fargo^Joe's Cajun Cafe^Menu^Sides","Taxable Goods","1","0","0","0","0","0","","",""
