v_products_model,v_products_type,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_date_avail,v_specials_expires_date,v_products_price,v_master_categories_id,v_products_id,v_products_weight,v_product_is_call,v_products_sort_order,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_always_free_shipping,v_date_avail,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
"BEVERAGE","1","","20 oz","","","","","","2.89","15295","32890","0","0","0","1","1","0","0","","2017-03-19 23:19:39","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.89","15295","32891","0","0","20","1","1","0","0","","2017-03-19 23:20:03","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","15296","32892","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-03-19 23:20:19","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","15297","32893","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-03-19 23:20:34","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","20 oz","","","","","","2.89","15295","32890","0","0","0","1","1","0","0","","2017-03-19 23:19:39","0","","Locations^Wisconsin^Green Bay^El Maya^Lunch Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"BEVERAGE","1","","Bottled Water - 16.9 oz","","","","","","1.89","15295","32891","0","0","20","1","1","0","0","","2017-03-19 23:20:03","0","","Locations^Wisconsin^Green Bay^El Maya^Lunch Menu^Beverages","Taxable Goods","1","0","0","0","0","0","","",""
"RESTAURANTMISC","1","","Restaurant Charge","","","","","","1","15296","32892","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-03-19 23:20:19","0","","Locations^Wisconsin^Green Bay^El Maya^Lunch Menu^Restaurant Misc","Taxable Goods","1","0","0","0","0","0","","",""
"FOODDUDEMISC","1","","Food Dudes Charge","","","","","","1","15297","32893","0","0","0","0.01","0.01","0","0","0001-01-01 00:00:00","2017-03-19 23:20:34","0","","Locations^Wisconsin^Green Bay^El Maya^Lunch Menu^Food Dudes Misc","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Quesadilla Rellena","Your choice of beef, marinated chicken or shrimp with mushrooms in a grilled flour tortilla, served with lettuce, sour cream, guacamole and pico de gallo.","","","","","0","15303","32894","0","0","0","1","1","1","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Cheese Quesadilla","","","","","","5.34","15303","32913","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Grilled Quesadilla","Your choice of chicken, steak or pork on a flour tortilla, served with lettuce and sour cream","","","","","9.6","15303","32927","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Queso Fundido","Melted cheese with Mexican sausage, mushrooms, and flour tortillas on the side","","","","","11.34","15303","32928","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Nachos Supremos","Bed of corn tortilla chips, covered with ground beef, refried beans, lettuce, sour cream and pico de gallo","","","","","9.6","15303","32943","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Nachos Azteca","For the hungry one! Bed of crispy tortilla chips with a great amount of beans, grilled beef and chicken with lettuce, tomatoes, white and yellow cheese, sour cream, jalape?o and guacamole","","","","","11.34","15303","32961","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Nachos Fajitas","Bed of crispy corn tortillas with grilled chicken, grilled beef with sauteed onions, tomatoes, bell peppers, white and yellow cheese, beans, garnish with lettuce, guacamole and sour cream","","","","","12.1","15303","32967","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Mayas Platter","Guacamole, sour cream, quesadilla, taquitos, mini chimichangas and cheese dip","","","","","15.34","15303","32988","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Cheese Dip","","","","","","6.34","15303","54374","0","0","0","1","1","0","0","","2018-06-29 21:15:08","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Guacamole Sante Fe Dip","","","","","","6.34","15303","54375","0","0","0","1","1","0","0","","2018-06-29 21:16:42","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Appetizers","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Taco Salad","Crispy shell flour tortilla with melted cheese sauce, covered with lettuce, cheese, tomato, guacamole, sour cream and pico de gallo","","","","","0","15304","32895","0","0","0","1","1","1","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Salads","Taxable Goods","1","0","0","0","0","0","","",""
"","1","","Chicken Salad","Chef salad with grilled chicken and cheese","","","","","9.6","15304","32929","0","0","0","1","1","0","0","","2017-03-19 23:31:53","0","","Locations^Wisconsin^Green Bay^El Maya^Full Menu^Salads","Taxable Goods","1","0","0","0","0","0","","",""
